City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Cabo San Lucas,MX,79.9,clear sky,22.8909,-109.9124,Vista Roof Restaurant
534,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
535,Laguna,US,70.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
539,San Patricio,US,82.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
540,Orumiyeh,IR,83.75,light rain,37.5527,45.0761,Urmia Kimia Mah Hotel
544,San Miguel,SV,71.69,broken clouds,13.4833,-88.1833,Excalibur
545,Radcliff,US,72.64,overcast clouds,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
547,Vaitape,PF,79.36,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
550,Vila Do Maio,CV,81.39,scattered clouds,15.1333,-23.2167,Hotel Marilu
554,West Wendover,US,74.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
555,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
560,Aboso,GH,84.9,overcast clouds,5.3617,-1.9473,New Atuabo
561,Buchanan,LR,81.84,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
562,Nicoya,CR,72.86,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
563,Morbach,DE,77.86,few clouds,49.8167,7.1167,Boardinghouse Morbach
566,Ambilobe,MG,87.98,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
570,Phan Thiet,VN,80.6,overcast clouds,10.9333,108.1,Hotel Saigon-PT
573,Ouricuri,BR,72.3,light rain,-7.8825,-40.0817,Sertão Pousada
574,Jiuquan,CN,81.37,clear sky,39.7432,98.5174,Jiuquan Hotel
575,Petropavlovskoye,RU,80.47,broken clouds,52.0712,84.107,Zarya Hotel
576,Littleton,US,72.54,scattered clouds,39.6133,-105.0166,InTown Suites Extended Stay Denver CO - Englewood
579,Gwadar,PK,85.17,few clouds,25.1216,62.3254,Sadaf Resort
580,Fare,PF,79.18,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
582,Klyuchi,RU,84.6,broken clouds,52.2667,79.1667,Vesolaya Mayovka
584,Durban,ZA,77.92,broken clouds,-29.8579,31.0292,Hilton Durban
587,Bani,DO,80.85,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
588,Primorsk,UA,84.24,clear sky,46.7348,36.3443,Relax
589,Sal Rei,CV,77.2,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
590,Honiara,SB,76.55,scattered clouds,-9.4333,159.95,Heritage Park Hotel
592,Samana,DO,73.36,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
593,Sao Raimundo Das Mangabeiras,BR,79.56,overcast clouds,-7.0219,-45.4811,Hotel Tropical
